date,channel,campaign,geo,creative_id,impressions,clicks,cost,sessions,add_to_cart,begin_checkout,purchase,revenue,ctr,cvr,roas,cpa,cpc,atc_to_purchase_rate,attribution_type,tracking_period
2024-01-01,Direct,Unattributed,Unknown,none,0,0,0.0,0,0,0,24,2873.19,,,,0.0,,,unattributed,pre_fix
2024-01-01,Google,Brand Search,AU,goog_c01,79,6,11.65,5,1,1,0,0.0,0.07595,0.0,0.0,,1.9417,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,AU,goog_c02,86,6,9.77,5,1,1,0,0.0,0.06977,0.0,0.0,,1.6283,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,CA,goog_c01,90,7,13.28,6,1,1,0,0.0,0.07778,0.0,0.0,,1.8971,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,CA,goog_c02,75,6,11.64,5,1,1,0,0.0,0.08,0.0,0.0,,1.94,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,DE,goog_c01,71,5,9.39,4,1,1,0,0.0,0.07042,0.0,0.0,,1.878,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,DE,goog_c02,59,4,7.8,3,0,0,0,0.0,0.0678,0.0,0.0,,1.95,,attributed,pre_fix
2024-01-01,Google,Brand Search,PT,goog_c01,25,4,6.45,4,1,1,0,0.0,0.16,0.0,0.0,,1.6125,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,PT,goog_c02,18,3,5.6,3,3,3,1,119.72,0.16667,0.33333,21.3786,5.6,1.8667,0.33333,attributed,pre_fix
2024-01-01,Google,Brand Search,UK,goog_c01,160,12,22.41,10,2,2,0,0.0,0.075,0.0,0.0,,1.8675,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,UK,goog_c02,111,9,15.88,8,2,2,1,119.72,0.08108,0.125,7.539,15.88,1.7644,0.5,attributed,pre_fix
2024-01-01,Google,Brand Search,US,goog_c01,515,39,88.17,35,6,5,0,0.0,0.07573,0.0,0.0,,2.2608,0.0,attributed,pre_fix
2024-01-01,Google,Brand Search,US,goog_c02,417,35,70.51,29,6,6,4,478.86,0.08393,0.13793,6.7914,17.63,2.0146,0.66667,attributed,pre_fix
2024-01-01,Google,Non-Brand Search,AU,goog_c03,709,19,16.99,17,3,2,1,119.72,0.0268,0.05882,7.0465,16.99,0.8942,0.33333,attributed,pre_fix
2024-01-01,Google,Non-Brand Search,AU,goog_c04,565,14,14.67,13,2,2,0,0.0,0.02478,0.0,0.0,,1.0479,0.0,attributed,pre_fix
2024-01-01,Google,Non-Brand Search,CA,goog_c03,725,19,18.53,16,2,2,0,0.0,0.02621,0.0,0.0,,0.9753,0.0,attributed,pre_fix
2024-01-01,Google,Non-Brand Search,CA,goog_c04,623,18,15.57,16,2,1,1,119.72,0.02889,0.0625,7.6891,15.57,0.865,0.5,attributed,pre_fix
2024-01-01,Google,Non-Brand Search,DE,goog_c03,557,14,12.0,12,2,1,0,0.0,0.02513,0.0,0.0,,0.8571,0.0,attributed,pre_fix
2024-01-01,Google,Non-Brand Search,DE,goog_c04,428,11,11.97,9,1,1,0,0.0,0.0257,0.0,0.0,,1.0882,0.0,attributed,pre_fix
