date,channel,campaign,geo,creative_id,sessions,add_to_cart,begin_checkout,purchase,revenue
2024-01-01,Google,Brand Search,US,goog_c01,35,6,5,0,0.0
2024-01-01,Google,Brand Search,US,goog_c02,29,6,6,4,478.86
2024-01-01,Google,Brand Search,UK,goog_c01,10,2,2,0,0.0
2024-01-01,Google,Brand Search,UK,goog_c02,8,2,2,1,119.72
2024-01-01,Google,Brand Search,CA,goog_c01,6,1,1,0,0.0
2024-01-01,Google,Brand Search,CA,goog_c02,5,1,1,0,0.0
2024-01-01,Google,Brand Search,AU,goog_c01,5,1,1,0,0.0
2024-01-01,Google,Brand Search,AU,goog_c02,5,1,1,0,0.0
2024-01-01,Google,Brand Search,DE,goog_c01,4,1,1,0,0.0
2024-01-01,Google,Brand Search,DE,goog_c02,3,0,0,0,0.0
2024-01-01,Google,Brand Search,PT,goog_c01,4,1,1,0,0.0
2024-01-01,Google,Brand Search,PT,goog_c02,3,3,3,1,119.72
2024-01-01,Google,Non-Brand Search,US,goog_c03,105,15,10,0,0.0
2024-01-01,Google,Non-Brand Search,US,goog_c04,87,15,13,0,0.0
2024-01-01,Google,Non-Brand Search,UK,goog_c03,19,3,2,0,0.0
2024-01-01,Google,Non-Brand Search,UK,goog_c04,23,4,3,0,0.0
2024-01-01,Google,Non-Brand Search,CA,goog_c03,16,2,2,0,0.0
2024-01-01,Google,Non-Brand Search,CA,goog_c04,16,2,1,1,119.72
2024-01-01,Google,Non-Brand Search,AU,goog_c03,17,3,2,1,119.72
2024-01-01,Google,Non-Brand Search,AU,goog_c04,13,2,2,0,0.0
2024-01-01,Google,Non-Brand Search,DE,goog_c03,12,2,1,0,0.0
2024-01-01,Google,Non-Brand Search,DE,goog_c04,9,1,1,0,0.0
2024-01-01,Google,Non-Brand Search,PT,goog_c03,8,1,1,0,0.0
2024-01-01,Google,Non-Brand Search,PT,goog_c04,7,2,2,1,119.72
2024-01-01,Google,Shopping,US,goog_c05,105,15,9,2,239.43
2024-01-01,Google,Shopping,US,goog_c06,121,17,13,0,0.0
2024-01-01,Google,Shopping,UK,goog_c05,25,3,2,0,0.0
2024-01-01,Google,Shopping,UK,goog_c06,25,4,3,0,0.0
2024-01-01,Google,Shopping,CA,goog_c05,17,2,2,0,0.0
2024-01-01,Google,Shopping,CA,goog_c06,17,2,2,1,119.72
2024-01-01,Google,Shopping,AU,goog_c05,17,2,1,0,0.0
2024-01-01,Google,Shopping,AU,goog_c06,18,2,1,0,0.0
2024-01-01,Google,Shopping,DE,goog_c05,17,3,2,0,0.0
2024-01-01,Google,Shopping,DE,goog_c06,12,2,2,0,0.0
2024-01-01,Google,Shopping,PT,goog_c05,9,3,3,2,239.43
2024-01-01,Google,Shopping,PT,goog_c06,12,2,1,0,0.0
2024-01-01,Google,Performance Max,US,goog_c07,164,31,17,2,239.43
2024-01-01,Google,Performance Max,US,goog_c08,143,29,17,0,0.0
2024-01-01,Google,Performance Max,UK,goog_c07,51,11,5,0,0.0
2024-01-01,Google,Performance Max,UK,goog_c08,31,6,3,0,0.0
2024-01-01,Google,Performance Max,CA,goog_c07,29,5,3,0,0.0
2024-01-01,Google,Performance Max,CA,goog_c08,23,4,2,0,0.0
2024-01-01,Google,Performance Max,AU,goog_c07,17,4,2,0,0.0
2024-01-01,Google,Performance Max,AU,goog_c08,19,4,2,0,0.0
2024-01-01,Google,Performance Max,DE,goog_c07,23,5,3,0,0.0
2024-01-01,Google,Performance Max,DE,goog_c08,18,4,2,0,0.0
2024-01-01,Google,Performance Max,PT,goog_c07,16,3,2,0,0.0
2024-01-01,Google,Performance Max,PT,goog_c08,15,3,2,0,0.0
2024-01-01,Meta,Prospecting,US,meta_c01,71,13,5,0,0.0
2024-01-01,Meta,Prospecting,US,meta_c02,102,17,9,1,119.72
2024-01-01,Meta,Prospecting,US,meta_c03,59,9,4,0,0.0
2024-01-01,Meta,Prospecting,US,meta_c04,47,8,4,0,0.0
2024-01-01,Meta,Prospecting,US,meta_c05,26,4,2,0,0.0
2024-01-01,Meta,Prospecting,US,meta_c06,23,3,1,0,0.0
2024-01-01,Meta,Prospecting,UK,meta_c01,28,5,2,0,0.0
2024-01-01,Meta,Prospecting,UK,meta_c02,31,5,2,0,0.0
2024-01-01,Meta,Prospecting,UK,meta_c03,14,3,1,0,0.0
2024-01-01,Meta,Prospecting,UK,meta_c04,9,2,1,0,0.0
2024-01-01,Meta,Prospecting,UK,meta_c05,9,2,1,0,0.0
2024-01-01,Meta,Prospecting,UK,meta_c06,8,1,0,0,0.0
2024-01-01,Meta,Prospecting,CA,meta_c01,16,3,1,0,0.0
2024-01-01,Meta,Prospecting,CA,meta_c02,16,3,1,1,119.72
2024-01-01,Meta,Prospecting,CA,meta_c03,7,1,0,0,0.0
2024-01-01,Meta,Prospecting,CA,meta_c04,9,1,0,0,0.0
2024-01-01,Meta,Prospecting,CA,meta_c05,5,1,0,0,0.0
2024-01-01,Meta,Prospecting,CA,meta_c06,5,1,0,0,0.0
2024-01-01,Meta,Prospecting,AU,meta_c01,11,2,1,0,0.0
2024-01-01,Meta,Prospecting,AU,meta_c02,15,2,1,0,0.0
2024-01-01,Meta,Prospecting,AU,meta_c03,8,1,0,0,0.0
2024-01-01,Meta,Prospecting,AU,meta_c04,6,1,1,0,0.0
2024-01-01,Meta,Prospecting,AU,meta_c05,5,1,1,0,0.0
2024-01-01,Meta,Prospecting,AU,meta_c06,5,1,0,0,0.0
2024-01-01,Meta,Prospecting,DE,meta_c01,11,2,1,0,0.0
2024-01-01,Meta,Prospecting,DE,meta_c02,10,2,1,0,0.0
2024-01-01,Meta,Prospecting,DE,meta_c03,7,1,0,0,0.0
2024-01-01,Meta,Prospecting,DE,meta_c04,6,1,0,0,0.0
2024-01-01,Meta,Prospecting,DE,meta_c05,3,0,0,0,0.0
2024-01-01,Meta,Prospecting,DE,meta_c06,4,1,0,0,0.0
2024-01-01,Meta,Prospecting,PT,meta_c01,8,1,0,0,0.0
2024-01-01,Meta,Prospecting,PT,meta_c02,10,1,0,0,0.0
2024-01-01,Meta,Prospecting,PT,meta_c03,5,1,0,0,0.0
2024-01-01,Meta,Prospecting,PT,meta_c04,5,1,0,0,0.0
2024-01-01,Meta,Prospecting,PT,meta_c05,3,1,0,0,0.0
2024-01-01,Meta,Prospecting,PT,meta_c06,3,1,1,0,0.0
2024-01-01,Meta,Retargeting,US,meta_c01,50,7,5,1,119.72
2024-01-01,Meta,Retargeting,US,meta_c02,53,8,6,0,0.0
2024-01-01,Meta,Retargeting,US,meta_c03,14,2,1,0,0.0
2024-01-01,Meta,Retargeting,US,meta_c04,14,2,1,0,0.0
2024-01-01,Meta,Retargeting,US,meta_c05,8,1,1,0,0.0
2024-01-01,Meta,Retargeting,US,meta_c06,8,1,1,1,119.72
2024-01-01,Meta,Retargeting,UK,meta_c01,9,1,1,0,0.0
2024-01-01,Meta,Retargeting,UK,meta_c02,9,1,1,0,0.0
2024-01-01,Meta,Retargeting,UK,meta_c03,3,0,0,0,0.0
2024-01-01,Meta,Retargeting,UK,meta_c04,5,1,1,0,0.0
2024-01-01,Meta,Retargeting,UK,meta_c05,3,0,0,0,0.0
2024-01-01,Meta,Retargeting,UK,meta_c06,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,CA,meta_c01,6,1,1,0,0.0
2024-01-01,Meta,Retargeting,CA,meta_c02,5,1,1,0,0.0
2024-01-01,Meta,Retargeting,CA,meta_c03,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,CA,meta_c04,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,CA,meta_c05,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,CA,meta_c06,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,AU,meta_c01,6,1,1,0,0.0
2024-01-01,Meta,Retargeting,AU,meta_c02,4,1,1,0,0.0
2024-01-01,Meta,Retargeting,AU,meta_c03,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,AU,meta_c04,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,AU,meta_c05,2,1,1,0,0.0
2024-01-01,Meta,Retargeting,AU,meta_c06,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,DE,meta_c01,5,1,1,0,0.0
2024-01-01,Meta,Retargeting,DE,meta_c02,5,1,1,0,0.0
2024-01-01,Meta,Retargeting,DE,meta_c03,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,DE,meta_c04,2,0,0,0,0.0
2024-01-01,Meta,Retargeting,DE,meta_c05,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,DE,meta_c06,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,PT,meta_c01,3,0,0,0,0.0
2024-01-01,Meta,Retargeting,PT,meta_c02,4,1,1,0,0.0
2024-01-01,Meta,Retargeting,PT,meta_c03,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,PT,meta_c04,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,PT,meta_c05,1,0,0,0,0.0
2024-01-01,Meta,Retargeting,PT,meta_c06,1,0,0,0,0.0
2024-01-01,Direct,Unattributed,Unknown,none,0,0,0,24,2873.19
2024-01-02,Google,Brand Search,US,goog_c01,39,6,5,3,368.93
2024-01-02,Google,Brand Search,US,goog_c02,35,6,5,0,0.0
2024-01-02,Google,Brand Search,UK,goog_c01,8,1,1,0,0.0
2024-01-02,Google,Brand Search,UK,goog_c02,9,1,1,0,0.0
2024-01-02,Google,Brand Search,CA,goog_c01,7,1,1,0,0.0
2024-01-02,Google,Brand Search,CA,goog_c02,5,1,1,0,0.0
2024-01-02,Google,Brand Search,AU,goog_c01,5,2,2,1,122.98
2024-01-02,Google,Brand Search,AU,goog_c02,4,1,1,0,0.0
2024-01-02,Google,Brand Search,DE,goog_c01,5,1,1,0,0.0
2024-01-02,Google,Brand Search,DE,goog_c02,5,1,1,0,0.0
2024-01-02,Google,Brand Search,PT,goog_c01,3,1,1,0,0.0
2024-01-02,Google,Brand Search,PT,goog_c02,3,1,1,1,122.98
2024-01-02,Google,Non-Brand Search,US,goog_c03,110,16,12,2,245.95
2024-01-02,Google,Non-Brand Search,US,goog_c04,132,20,14,2,245.95
2024-01-02,Google,Non-Brand Search,UK,goog_c03,23,3,2,0,0.0
2024-01-02,Google,Non-Brand Search,UK,goog_c04,16,2,2,0,0.0
2024-01-02,Google,Non-Brand Search,CA,goog_c03,18,2,1,0,0.0
2024-01-02,Google,Non-Brand Search,CA,goog_c04,16,3,2,0,0.0
2024-01-02,Google,Non-Brand Search,AU,goog_c03,15,2,2,1,122.98
2024-01-02,Google,Non-Brand Search,AU,goog_c04,13,2,1,0,0.0
2024-01-02,Google,Non-Brand Search,DE,goog_c03,16,3,2,1,122.98
2024-01-02,Google,Non-Brand Search,DE,goog_c04,13,2,1,0,0.0
2024-01-02,Google,Non-Brand Search,PT,goog_c03,8,1,1,0,0.0
2024-01-02,Google,Non-Brand Search,PT,goog_c04,10,2,1,0,0.0
2024-01-02,Google,Shopping,US,goog_c05,81,11,7,3,368.93
2024-01-02,Google,Shopping,US,goog_c06,106,15,9,0,0.0
2024-01-02,Google,Shopping,UK,goog_c05,25,4,2,0,0.0
2024-01-02,Google,Shopping,UK,goog_c06,29,4,3,0,0.0
2024-01-02,Google,Shopping,CA,goog_c05,22,3,2,0,0.0
2024-01-02,Google,Shopping,CA,goog_c06,22,3,2,0,0.0
2024-01-02,Google,Shopping,AU,goog_c05,18,2,1,0,0.0
2024-01-02,Google,Shopping,AU,goog_c06,16,2,1,0,0.0
2024-01-02,Google,Shopping,DE,goog_c05,13,2,1,0,0.0
2024-01-02,Google,Shopping,DE,goog_c06,14,2,2,0,0.0
2024-01-02,Google,Shopping,PT,goog_c05,9,1,1,0,0.0
2024-01-02,Google,Shopping,PT,goog_c06,8,1,1,0,0.0
2024-01-02,Google,Performance Max,US,goog_c07,179,37,22,4,491.91
2024-01-02,Google,Performance Max,US,goog_c08,144,29,16,1,122.98
2024-01-02,Google,Performance Max,UK,goog_c07,33,6,3,1,122.98
2024-01-02,Google,Performance Max,UK,goog_c08,37,7,4,0,0.0
2024-01-02,Google,Performance Max,CA,goog_c07,30,6,4,1,122.98
2024-01-02,Google,Performance Max,CA,goog_c08,22,4,2,0,0.0
2024-01-02,Google,Performance Max,AU,goog_c07,21,5,2,0,0.0
2024-01-02,Google,Performance Max,AU,goog_c08,22,4,2,0,0.0
2024-01-02,Google,Performance Max,DE,goog_c07,21,4,2,0,0.0
2024-01-02,Google,Performance Max,DE,goog_c08,20,4,2,0,0.0
2024-01-02,Google,Performance Max,PT,goog_c07,17,3,2,0,0.0
2024-01-02,Google,Performance Max,PT,goog_c08,12,2,1,0,0.0
2024-01-02,Meta,Prospecting,US,meta_c01,79,13,5,0,0.0
2024-01-02,Meta,Prospecting,US,meta_c02,117,18,9,0,0.0
2024-01-02,Meta,Prospecting,US,meta_c03,41,7,3,0,0.0
2024-01-02,Meta,Prospecting,US,meta_c04,40,6,3,0,0.0
2024-01-02,Meta,Prospecting,US,meta_c05,26,4,2,0,0.0
2024-01-02,Meta,Prospecting,US,meta_c06,25,4,2,1,122.98
2024-01-02,Meta,Prospecting,UK,meta_c01,24,3,1,0,0.0
2024-01-02,Meta,Prospecting,UK,meta_c02,28,4,2,0,0.0
2024-01-02,Meta,Prospecting,UK,meta_c03,11,2,1,0,0.0
2024-01-02,Meta,Prospecting,UK,meta_c04,12,2,1,0,0.0
2024-01-02,Meta,Prospecting,UK,meta_c05,10,2,1,0,0.0
2024-01-02,Meta,Prospecting,UK,meta_c06,8,1,0,0,0.0
2024-01-02,Meta,Prospecting,CA,meta_c01,19,4,2,0,0.0
2024-01-02,Meta,Prospecting,CA,meta_c02,18,3,1,0,0.0
2024-01-02,Meta,Prospecting,CA,meta_c03,9,1,0,0,0.0
2024-01-02,Meta,Prospecting,CA,meta_c04,8,1,0,0,0.0
2024-01-02,Meta,Prospecting,CA,meta_c05,6,1,0,0,0.0
2024-01-02,Meta,Prospecting,CA,meta_c06,6,1,0,0,0.0
2024-01-02,Meta,Prospecting,AU,meta_c01,14,2,1,0,0.0
2024-01-02,Meta,Prospecting,AU,meta_c02,15,3,1,0,0.0
2024-01-02,Meta,Prospecting,AU,meta_c03,8,1,0,0,0.0
2024-01-02,Meta,Prospecting,AU,meta_c04,6,1,0,0,0.0
2024-01-02,Meta,Prospecting,AU,meta_c05,5,1,0,0,0.0
2024-01-02,Meta,Prospecting,AU,meta_c06,5,1,0,0,0.0
2024-01-02,Meta,Prospecting,DE,meta_c01,11,2,1,1,122.98
2024-01-02,Meta,Prospecting,DE,meta_c02,13,2,1,0,0.0
2024-01-02,Meta,Prospecting,DE,meta_c03,6,1,0,0,0.0
2024-01-02,Meta,Prospecting,DE,meta_c04,6,1,0,0,0.0
2024-01-02,Meta,Prospecting,DE,meta_c05,4,1,0,0,0.0
2024-01-02,Meta,Prospecting,DE,meta_c06,3,0,0,0,0.0
2024-01-02,Meta,Prospecting,PT,meta_c01,9,2,1,0,0.0
2024-01-02,Meta,Prospecting,PT,meta_c02,9,1,0,0,0.0
2024-01-02,Meta,Prospecting,PT,meta_c03,5,1,0,0,0.0
2024-01-02,Meta,Prospecting,PT,meta_c04,3,0,0,0,0.0
2024-01-02,Meta,Prospecting,PT,meta_c05,3,1,0,0,0.0
2024-01-02,Meta,Prospecting,PT,meta_c06,3,0,0,0,0.0
2024-01-02,Meta,Retargeting,US,meta_c01,48,9,6,1,122.98
2024-01-02,Meta,Retargeting,US,meta_c02,42,7,5,0,0.0
2024-01-02,Meta,Retargeting,US,meta_c03,16,2,1,0,0.0
2024-01-02,Meta,Retargeting,US,meta_c04,14,2,1,0,0.0
2024-01-02,Meta,Retargeting,US,meta_c05,9,1,1,0,0.0
2024-01-02,Meta,Retargeting,US,meta_c06,9,1,1,0,0.0
2024-01-02,Meta,Retargeting,UK,meta_c01,8,1,1,0,0.0
2024-01-02,Meta,Retargeting,UK,meta_c02,11,2,1,0,0.0
2024-01-02,Meta,Retargeting,UK,meta_c03,3,0,0,0,0.0
2024-01-02,Meta,Retargeting,UK,meta_c04,3,1,1,0,0.0
2024-01-02,Meta,Retargeting,UK,meta_c05,2,0,0,0,0.0
2024-01-02,Meta,Retargeting,UK,meta_c06,1,0,0,0,0.0
2024-01-02,Meta,Retargeting,CA,meta_c01,5,1,1,1,122.98
2024-01-02,Meta,Retargeting,CA,meta_c02,5,1,1,0,0.0
2024-01-02,Meta,Retargeting,CA,meta_c03,2,0,0,0,0.0
2024-01-02,Meta,Retargeting,CA,meta_c04,2,0,0,0,0.0
2024-01-02,Meta,Retargeting,CA,meta_c05,2,0,0,0,0.0
2024-01-02,Meta,Retargeting,CA,meta_c06,1,0,0,0,0.0
2024-01-02,Meta,Retargeting,AU,meta_c01,7,1,1,0,0.0
2024-01-02,Meta,Retargeting,AU,meta_c02,5,1,1,0,0.0
