date,channel,campaign,geo,creative_id,impressions,clicks,cost
2024-01-01,Google,Brand Search,US,goog_c01,515,39,88.17
2024-01-01,Google,Brand Search,US,goog_c02,417,35,70.51
2024-01-01,Google,Brand Search,UK,goog_c01,160,12,22.41
2024-01-01,Google,Brand Search,UK,goog_c02,111,9,15.88
2024-01-01,Google,Brand Search,CA,goog_c01,90,7,13.28
2024-01-01,Google,Brand Search,CA,goog_c02,75,6,11.64
2024-01-01,Google,Brand Search,AU,goog_c01,79,6,11.65
2024-01-01,Google,Brand Search,AU,goog_c02,86,6,9.77
2024-01-01,Google,Brand Search,DE,goog_c01,71,5,9.39
2024-01-01,Google,Brand Search,DE,goog_c02,59,4,7.8
2024-01-01,Google,Brand Search,PT,goog_c01,25,4,6.45
2024-01-01,Google,Brand Search,PT,goog_c02,18,3,5.6
2024-01-01,Google,Non-Brand Search,US,goog_c03,3429,115,103.83
2024-01-01,Google,Non-Brand Search,US,goog_c04,3679,104,98.01
2024-01-01,Google,Non-Brand Search,UK,goog_c03,776,23,26.63
2024-01-01,Google,Non-Brand Search,UK,goog_c04,1024,28,26.06
2024-01-01,Google,Non-Brand Search,CA,goog_c03,725,19,18.53
2024-01-01,Google,Non-Brand Search,CA,goog_c04,623,18,15.57
2024-01-01,Google,Non-Brand Search,AU,goog_c03,709,19,16.99
2024-01-01,Google,Non-Brand Search,AU,goog_c04,565,14,14.67
2024-01-01,Google,Non-Brand Search,DE,goog_c03,557,14,12.0
2024-01-01,Google,Non-Brand Search,DE,goog_c04,428,11,11.97
2024-01-01,Google,Non-Brand Search,PT,goog_c03,151,9,8.83
2024-01-01,Google,Non-Brand Search,PT,goog_c04,131,8,8.21
2024-01-01,Google,Shopping,US,goog_c05,9183,120,82.55
2024-01-01,Google,Shopping,US,goog_c06,10548,146,79.39
2024-01-01,Google,Shopping,UK,goog_c05,2004,29,17.84
2024-01-01,Google,Shopping,UK,goog_c06,1862,27,18.27
2024-01-01,Google,Shopping,CA,goog_c05,1171,18,12.03
2024-01-01,Google,Shopping,CA,goog_c06,1554,19,12.0
2024-01-01,Google,Shopping,AU,goog_c05,1720,19,10.98
2024-01-01,Google,Shopping,AU,goog_c06,1687,20,11.07
2024-01-01,Google,Shopping,DE,goog_c05,1425,19,10.89
2024-01-01,Google,Shopping,DE,goog_c06,1137,15,10.62
2024-01-01,Google,Shopping,PT,goog_c05,367,10,6.71
2024-01-01,Google,Shopping,PT,goog_c06,515,13,7.71
2024-01-01,Google,Performance Max,US,goog_c07,22839,192,144.85
2024-01-01,Google,Performance Max,US,goog_c08,21890,164,117.11
2024-01-01,Google,Performance Max,UK,goog_c07,8162,54,43.2
2024-01-01,Google,Performance Max,UK,goog_c08,4747,34,30.9
2024-01-01,Google,Performance Max,CA,goog_c07,4335,33,25.59
2024-01-01,Google,Performance Max,CA,goog_c08,3596,27,21.92
2024-01-01,Google,Performance Max,AU,goog_c07,2749,20,16.85
2024-01-01,Google,Performance Max,AU,goog_c08,3328,22,17.35
2024-01-01,Google,Performance Max,DE,goog_c07,4176,26,19.43
2024-01-01,Google,Performance Max,DE,goog_c08,3135,20,17.3
2024-01-01,Google,Performance Max,PT,goog_c07,1111,17,12.03
2024-01-01,Google,Performance Max,PT,goog_c08,1015,16,12.21
2024-01-01,Meta,Prospecting,US,meta_c01,7324,82,45.2
2024-01-01,Meta,Prospecting,US,meta_c02,9749,115,53.65
2024-01-01,Meta,Prospecting,US,meta_c03,5387,65,25.74
2024-01-01,Meta,Prospecting,US,meta_c04,4146,53,22.63
2024-01-01,Meta,Prospecting,US,meta_c05,3028,32,14.87
2024-01-01,Meta,Prospecting,US,meta_c06,1891,26,12.39
2024-01-01,Meta,Prospecting,UK,meta_c01,2692,31,12.84
2024-01-01,Meta,Prospecting,UK,meta_c02,2959,33,13.24
2024-01-01,Meta,Prospecting,UK,meta_c03,1503,16,7.21
2024-01-01,Meta,Prospecting,UK,meta_c04,1023,11,6.57
2024-01-01,Meta,Prospecting,UK,meta_c05,943,10,4.26
2024-01-01,Meta,Prospecting,UK,meta_c06,812,9,4.21
2024-01-01,Meta,Prospecting,CA,meta_c01,1477,17,8.45
2024-01-01,Meta,Prospecting,CA,meta_c02,1712,19,8.39
2024-01-01,Meta,Prospecting,CA,meta_c03,745,8,3.84
2024-01-01,Meta,Prospecting,CA,meta_c04,988,10,4.1
2024-01-01,Meta,Prospecting,CA,meta_c05,567,6,2.63
2024-01-01,Meta,Prospecting,CA,meta_c06,571,6,2.66
2024-01-01,Meta,Prospecting,AU,meta_c01,1212,13,6.87
2024-01-01,Meta,Prospecting,AU,meta_c02,1625,17,7.82
2024-01-01,Meta,Prospecting,AU,meta_c03,895,8,3.76
2024-01-01,Meta,Prospecting,AU,meta_c04,718,7,3.22
2024-01-01,Meta,Prospecting,AU,meta_c05,483,5,2.28
2024-01-01,Meta,Prospecting,AU,meta_c06,512,5,1.99
2024-01-01,Meta,Prospecting,DE,meta_c01,1379,13,5.73
2024-01-01,Meta,Prospecting,DE,meta_c02,1054,11,6.55
2024-01-01,Meta,Prospecting,DE,meta_c03,784,8,3.63
2024-01-01,Meta,Prospecting,DE,meta_c04,575,6,2.95
2024-01-01,Meta,Prospecting,DE,meta_c05,422,4,2.19
2024-01-01,Meta,Prospecting,DE,meta_c06,428,4,1.96
2024-01-01,Meta,Prospecting,PT,meta_c01,410,10,4.65
2024-01-01,Meta,Prospecting,PT,meta_c02,500,11,5.0
2024-01-01,Meta,Prospecting,PT,meta_c03,245,6,2.51
2024-01-01,Meta,Prospecting,PT,meta_c04,211,5,2.15
2024-01-01,Meta,Prospecting,PT,meta_c05,144,3,1.59
2024-01-01,Meta,Prospecting,PT,meta_c06,130,3,1.27
2024-01-01,Meta,Retargeting,US,meta_c01,2106,55,29.92
2024-01-01,Meta,Retargeting,US,meta_c02,2206,56,28.74
2024-01-01,Meta,Retargeting,US,meta_c03,641,16,10.27
2024-01-01,Meta,Retargeting,US,meta_c04,684,16,9.41
2024-01-01,Meta,Retargeting,US,meta_c05,339,9,5.44
2024-01-01,Meta,Retargeting,US,meta_c06,334,9,5.21
2024-01-01,Meta,Retargeting,UK,meta_c01,459,11,6.65
2024-01-01,Meta,Retargeting,UK,meta_c02,536,11,6.87
2024-01-01,Meta,Retargeting,UK,meta_c03,155,4,2.15
2024-01-01,Meta,Retargeting,UK,meta_c04,217,5,2.44
2024-01-01,Meta,Retargeting,UK,meta_c05,121,3,1.47
2024-01-01,Meta,Retargeting,UK,meta_c06,85,2,1.24
2024-01-01,Meta,Retargeting,CA,meta_c01,321,7,3.87
2024-01-01,Meta,Retargeting,CA,meta_c02,252,6,3.69
2024-01-01,Meta,Retargeting,CA,meta_c03,86,2,1.4
2024-01-01,Meta,Retargeting,CA,meta_c04,103,2,1.37
2024-01-01,Meta,Retargeting,CA,meta_c05,91,2,0.81
2024-01-01,Meta,Retargeting,CA,meta_c06,45,1,0.7
2024-01-01,Meta,Retargeting,AU,meta_c01,334,7,3.7
2024-01-01,Meta,Retargeting,AU,meta_c02,234,5,3.64
2024-01-01,Meta,Retargeting,AU,meta_c03,93,2,1.31
2024-01-01,Meta,Retargeting,AU,meta_c04,98,2,1.23
2024-01-01,Meta,Retargeting,AU,meta_c05,90,2,0.79
2024-01-01,Meta,Retargeting,AU,meta_c06,48,1,0.68
2024-01-01,Meta,Retargeting,DE,meta_c01,291,6,3.76
2024-01-01,Meta,Retargeting,DE,meta_c02,291,6,3.51
2024-01-01,Meta,Retargeting,DE,meta_c03,93,2,1.33
2024-01-01,Meta,Retargeting,DE,meta_c04,94,2,1.28
2024-01-01,Meta,Retargeting,DE,meta_c05,47,1,0.84
2024-01-01,Meta,Retargeting,DE,meta_c06,46,1,0.65
2024-01-01,Meta,Retargeting,PT,meta_c01,84,4,2.31
2024-01-01,Meta,Retargeting,PT,meta_c02,80,4,2.27
2024-01-01,Meta,Retargeting,PT,meta_c03,20,1,0.8
